Country,Issuer,Denomination,Year,Mintmark,Subject,"Value, USD (CoinSnap) ",Krause Number,Value (MY),Grading,Note,Obverse photo,Reverse photo
HU,Hungary,20 filler,1984,BP,Common series,0.1,KM# 573,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d2f3a3f6-3ce1-4e18-b017-f2bdcdbd2555.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/d3d15a3d-e4f6-406d-8744-ba23fe9159fb.png
HU,Hungary,10 filler,1989,BP,Common series,0.11,KM# 572,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/f2d56da9-c0fd-4aa8-a7a2-72147654db0b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/587db0ba-f53c-48c9-a61e-d6c11cb44a5d.png
HU,Hungary,5 filler,1960,BP,Common series,0.33,KM# 549,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/f06b2e50-4eee-4bba-b5d5-5da454d04071.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/c08aec8c-a3a0-443d-8d17-e6b575c19c2b.png
HU,Hungary,2 filler,1962,BP,Common series,0.39,KM# 546,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/fa902750-2b83-40d8-8687-846c5f7259e2.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/67efb871-6c18-4f1e-ae59-e6b99042479b.png
HU,Hungary,200 forint,1994,BP,Common series,7.56,KM# 707,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/4edabb1a-dcbd-4674-bd9f-706a7e710423.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/bc4e487f-21b5-4b6d-bbb7-f0ac372d5e3a.png
HU,Hungary,100 forint,1997,BP,Common series,0.58,KM# 721,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/63c16ee2-0bf5-4d2f-8fbf-89fff2fa9b9a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/3a2a73cf-aa68-442a-b741-f4044aa8b07e.png
HU,Hungary,100 forint,1994,BP,Common series,0.58,KM# 698,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/774ac3ce-bc1d-4d76-a239-f7adae333e04.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/8f4e2733-472e-48f4-99ca-46d139b3bc44.png
HU,Hungary,50 forint,1995,BP,Common series,0.37,KM# 697,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/a1bf8eb8-b949-4f18-8458-f5c78083e519.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/ae41f296-d1a6-4bb8-8849-bcca0f62e0af.png
HU,Hungary,20 forint,1995,BP,Common series,0.24,KM# 696,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/369bf3a9-09eb-4ae6-adab-7d7226605ce3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/019cf5db-0d17-4a3e-bce0-421759561285.png
HU,Hungary,10 forint,1995,BP,Common series,0.18,KM# 695,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/27988a6e-668f-4a04-817c-0ca65f2bf0f2.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/78030170-b361-48cb-9aa4-e719f5246ddf.png
HU,Hungary,5 forint,1994,BP,Common series,0.15,KM# 694,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d3dc0fb1-93b5-484e-bc78-66db416c7e82.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/a1d062dd-25a4-4196-8321-f7c83cfe4ea6.png
HU,Hungary,2 forint,1996,BP,Common series,0.13,KM# 693,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/e19f1037-468f-414b-b0ec-0241fcea7668.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/87368930-6318-4287-b255-fd4f55df9c32.png
HU,Hungary,1 forint,1993,BP,Common series,0.12,KM# 692,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/88c57357-6648-4f96-9e76-b71aff17237a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/77c61599-ef47-4f82-975a-56988ee0646f.png
